reason,song,source_kind,source_file,bar_number,source_label_path,matched_pdf,detected_crops,source_labels,packaged_song_bars
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,18,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar018.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,19,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar019.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,20,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar020.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,21,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar021.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,22,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar022.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,23,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar023.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,24,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar024.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,25,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar025.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,26,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar026.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
crop_label_count_mismatch,The Trees Drum Tab by Rush Oct 20 2025,gp7,ml/data/songsterr/guitar_pro/The Trees Drum Tab by Rush Oct 20 2025.gp,27,ml/data/labels/The Trees Drum Tab by Rush Oct 20 2025_bar027.json,ml/data/songsterr/pdf/The Trees Drum Tab by Rush _ Songsterr Tabs with Rhythm.pdf,0,159,0
